u	v	score
ENSG00000003989	ENSG00000121905	0.97798262133155
ENSG00000003989	ENSG00000125820	0.9419257640988199
ENSG00000003989	ENSG00000125861	0.8077562245485072
ENSG00000003989	ENSG00000129167	0.9823464767386779
ENSG00000003989	ENSG00000131096	0.7294298303261525
ENSG00000003989	ENSG00000136750	0.8129145586617997
ENSG00000003989	ENSG00000136854	0.789445441830631
ENSG00000003989	ENSG00000145198	0.9714879552222386
ENSG00000003989	ENSG00000145526	0.8189010838072981
ENSG00000003989	ENSG00000147378	0.8948974258167809
ENSG00000003989	ENSG00000154319	0.9748799263351648
ENSG00000003989	ENSG00000157087	0.7146865153212915
ENSG00000003989	ENSG00000162761	0.9847273550686012
ENSG00000003989	ENSG00000163536	0.8621207536843518
ENSG00000003989	ENSG00000170214	0.9284941431841345
ENSG00000003989	ENSG00000171532	0.9671404787291492
ENSG00000003989	ENSG00000173404	0.8580379281677405
ENSG00000003989	ENSG00000175175	0.7025634392577588
ENSG00000003989	ENSG00000178084	0.8830687961849089
ENSG00000003989	ENSG00000178409	0.9546694249651114
ENSG00000003989	ENSG00000180535	0.7852500167615911
ENSG00000003989	ENSG00000183775	0.8078944907525901
ENSG00000003989	ENSG00000185002	0.8016682290024815
ENSG00000003989	ENSG00000185053	0.7713772861109426
ENSG00000003989	ENSG00000187024	0.7421218161401049
ENSG00000003989	ENSG00000203972	0.7740473182989597
ENSG00000003989	ENSG00000248746	0.8994607272749336
ENSG00000004142	ENSG00000132591	0.7895819358235692
ENSG00000004455	ENSG00000084623	0.719498331176478
ENSG00000004478	ENSG00000111206	0.7329671415968839
ENSG00000004478	ENSG00000197905	0.7430867080935002
ENSG00000004534	ENSG00000114857	0.7612963984628023
ENSG00000004700	ENSG00000111711	0.788814210638679
ENSG00000004776	ENSG00000018625	0.8926351240098671
ENSG00000004776	ENSG00000020577	0.7921427428529015
ENSG00000004776	ENSG00000021645	0.869497996131073
ENSG00000004776	ENSG00000022267	0.9357338769571905
ENSG00000004776	ENSG00000023902	0.7799225036322752
ENSG00000004776	ENSG00000035403	0.735138379654504
ENSG00000004776	ENSG00000041982	0.7672018045355657
ENSG00000004776	ENSG00000046653	0.7123385868747163
ENSG00000004776	ENSG00000048342	0.7459096023342769
ENSG00000004776	ENSG00000058272	0.7824251432658229
ENSG00000004776	ENSG00000058668	0.899409174500605
ENSG00000004776	ENSG00000064309	0.7834545453828522
ENSG00000004776	ENSG00000065320	0.7288237689432698
ENSG00000004776	ENSG00000065534	0.9470912322779628
ENSG00000004776	ENSG00000065882	0.7026347739046106
ENSG00000004776	ENSG00000066629	0.8102811391552
ENSG00000004776	ENSG00000068383	0.7291208422992294
ENSG00000004776	ENSG00000068976	0.8936504937131594
ENSG00000004776	ENSG00000071205	0.7687636989074605
ENSG00000004776	ENSG00000072110	0.8775877887059892
ENSG00000004776	ENSG00000072163	0.9037407847341115
