No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3010;POLD1;9.71E-05;x
3011;GRM5;9.71E-05;#N/A
3012;PCGF3;9.71E-05;#N/A
3013;ABCA1;9.70E-05;#N/A
3014;ANAPC5;9.70E-05;#N/A
3015;KRT32;9.70E-05;#N/A
3016;POLB;9.70E-05;#N/A
3017;TIMELESS;9.69E-05;#N/A
3018;DERL1;9.69E-05;#N/A
3019;MLNR;9.69E-05;#N/A
3020;ACTL7A;9.69E-05;#N/A
3021;RMDN1;9.68E-05;#N/A
3022;ING5;9.68E-05;#N/A
3023;ZNF281;9.68E-05;#N/A
3024;POLL;9.68E-05;#N/A
3025;DPP6;9.67E-05;#N/A
3026;USP10;9.67E-05;#N/A
3027;ADCYAP1R1;9.67E-05;#N/A
3028;COL2A1;9.66E-05;x
3029;COPE;9.66E-05;#N/A
3030;ZFYVE9;9.65E-05;#N/A
3031;CSPP1;9.65E-05;#N/A
3032;RAI14;9.65E-05;#N/A
3033;SLC1A5;9.65E-05;#N/A
3034;ATPAF2;9.64E-05;#N/A
3035;BAK1;9.64E-05;#N/A
3036;PRKAB1;9.64E-05;#N/A
3037;COPZ2;9.64E-05;#N/A
3038;LDLR;9.64E-05;#N/A
3039;SYN2;9.63E-05;#N/A
3040;MRPL3;9.63E-05;#N/A
3041;TRMT61B;9.62E-05;#N/A
3042;SAFB;9.62E-05;#N/A
3043;BRD2;9.62E-05;#N/A
3044;SELP;9.62E-05;#N/A
3045;SDCBP2;9.62E-05;#N/A
3046;COPB2;9.62E-05;#N/A
3047;APBB2;9.61E-05;#N/A
3048;PLD1;9.61E-05;#N/A
3049;ASCC1;9.61E-05;#N/A
3050;THY1;9.61E-05;#N/A
3051;ARMC1;9.61E-05;#N/A
3052;USP42;9.61E-05;#N/A
3053;GPR37;9.60E-05;#N/A
3054;NCKAP1;9.60E-05;#N/A
3055;TCF20;9.60E-05;#N/A
3056;MRPL44;9.59E-05;#N/A
3057;MRPL13;9.59E-05;#N/A
3058;MYH10;9.59E-05;#N/A
3059;TRAPPC9;9.59E-05;#N/A
3060;RPL28;9.59E-05;#N/A
3061;STRN4;9.58E-05;#N/A
3062;MARS1;9.58E-05;#N/A
3063;TAS1R2;9.58E-05;#N/A
3064;NDUFV2;9.58E-05;#N/A
3065;AMER3;9.58E-05;#N/A
3066;CELF3;9.57E-05;#N/A
3067;DDX39B;9.57E-05;#N/A
3068;GNAZ;9.57E-05;#N/A
3069;MAPK7;9.57E-05;#N/A
3070;APEX1;9.57E-05;#N/A
3071;MLF2;9.56E-05;#N/A
3072;GJA1;9.56E-05;#N/A
3073;NEURL4;9.56E-05;#N/A
3074;ORC3;9.56E-05;#N/A
3075;USP46;9.55E-05;#N/A
3076;TMEM237;9.55E-05;#N/A
3077;MCMBP;9.55E-05;#N/A
3078;KCNA5;9.54E-05;#N/A
3079;YTHDF1;9.54E-05;#N/A
3080;NOS1AP;9.54E-05;#N/A
3081;ATF3;9.54E-05;#N/A
3082;LAMB3;9.54E-05;#N/A
3083;TAF11;9.53E-05;#N/A
3084;ELSPBP1;9.53E-05;#N/A
3085;HLTF;9.52E-05;#N/A
3086;FLII;9.52E-05;#N/A
3087;ING1;9.52E-05;x
3088;TIMD4;9.52E-05;#N/A
3089;MDM4;9.52E-05;x
3090;TRAPPC3;9.51E-05;#N/A
3091;TACC1;9.51E-05;#N/A
3092;RPL21;9.49E-05;#N/A
3093;CDK5R1;9.49E-05;#N/A
3094;DSC2;9.49E-05;#N/A
3095;RCN2;9.49E-05;#N/A
3096;THAP1;9.48E-05;#N/A
3097;QARS1;9.48E-05;#N/A
3098;RARS1;9.48E-05;#N/A
3099;MSN;9.48E-05;#N/A
3100;VAMP3;9.48E-05;#N/A
3101;IK;9.48E-05;#N/A
3102;SS18L1;9.48E-05;#N/A
3103;PDHA1;9.48E-05;#N/A
3104;ARHGDIA;9.47E-05;#N/A
3105;TMED10;9.47E-05;#N/A
3106;DSTYK;9.47E-05;#N/A
3107;RCOR3;9.47E-05;#N/A
3108;DIS3;9.47E-05;x
3109;ELP1;9.47E-05;#N/A
3110;PRKAG1;9.46E-05;#N/A
3111;KIF3A;9.46E-05;#N/A
3112;ZFC3H1;9.46E-05;#N/A
3113;TAF5;9.45E-05;#N/A
3114;CRMP1;9.45E-05;#N/A
3115;RBM25;9.45E-05;#N/A
3116;KLF8;9.45E-05;#N/A
3117;LRRC46;9.45E-05;#N/A
3118;SERPINB5;9.45E-05;#N/A
3119;UGT3A2;9.45E-05;#N/A
3120;MLLT3;9.44E-05;x
3121;TGS1;9.44E-05;#N/A
3122;KIF20B;9.44E-05;#N/A
3123;PHGDH;9.43E-05;#N/A
3124;PIWIL3;9.43E-05;#N/A
3125;DNMT3A;9.43E-05;x
3126;NEK4;9.43E-05;#N/A
3127;RFC5;9.43E-05;#N/A
3128;SIX6;9.43E-05;#N/A
3129;GFAP;9.42E-05;#N/A
3130;CYSLTR1;9.42E-05;#N/A
3131;GSG1;9.42E-05;#N/A
3132;FZD4;9.42E-05;#N/A
3133;HOMER1;9.42E-05;#N/A
3134;NDUFV3;9.42E-05;#N/A
3135;OXSR1;9.41E-05;#N/A
3136;GOSR1;9.41E-05;#N/A
3137;TFPT;9.41E-05;#N/A
3138;ECT2;9.41E-05;#N/A
3139;EIF3G;9.40E-05;#N/A
3140;MED8;9.40E-05;#N/A
3141;ATP2B2;9.40E-05;#N/A
3142;CST4;9.40E-05;#N/A
3143;DUSP21;9.40E-05;#N/A
3144;KATNA1;9.40E-05;#N/A
3145;ATP5F1C;9.39E-05;#N/A
3146;PTTG1;9.39E-05;#N/A
3147;SLC25A13;9.39E-05;#N/A
3148;GZMK;9.39E-05;#N/A
3149;MOB1A;9.39E-05;#N/A
3150;PCOLCE;9.39E-05;#N/A
3151;SKA3;9.39E-05;#N/A
3152;CLEC7A;9.37E-05;#N/A
3153;LNPEP;9.37E-05;#N/A
3154;USP21;9.37E-05;#N/A
3155;UBR1;9.37E-05;#N/A
3156;MED13;9.37E-05;#N/A
3157;PEG3;9.36E-05;#N/A
3158;UHRF1;9.35E-05;#N/A
3159;POLD4;9.35E-05;#N/A
3160;PTCD3;9.35E-05;#N/A
3161;RAD51D;9.34E-05;x
3162;TFRC;9.34E-05;#N/A
3163;DNAH9;9.34E-05;#N/A
3164;LYG2;9.34E-05;#N/A
3165;HJV;9.34E-05;#N/A
3166;USP32;9.34E-05;#N/A
3167;MGA;9.33E-05;x
3168;XIRP2;9.33E-05;#N/A
3169;F2;9.32E-05;#N/A
3170;ZNF317;9.32E-05;#N/A
3171;CD74;9.32E-05;x
3172;SDC2;9.32E-05;#N/A
3173;CRNKL1;9.32E-05;#N/A
3174;PKN3;9.31E-05;#N/A
3175;KPNA6;9.30E-05;#N/A
3176;WWC1;9.30E-05;#N/A
3177;IGFBP7;9.30E-05;#N/A
3178;SRSF3;9.30E-05;#N/A
3179;AIMP2;9.30E-05;#N/A
3180;TMPO;9.29E-05;#N/A
3181;STK16;9.29E-05;#N/A
3182;MRPL2;9.29E-05;#N/A
3183;AHCYL2;9.29E-05;#N/A
3184;RECQL5;9.29E-05;#N/A
3185;PGAM5;9.29E-05;#N/A
3186;CEP72;9.28E-05;#N/A
3187;ZNF444;9.28E-05;#N/A
3188;HK3;9.28E-05;#N/A
3189;HMOX2;9.28E-05;#N/A
3190;AEBP2;9.28E-05;#N/A
3191;CSE1L;9.28E-05;#N/A
3192;PCGF2;9.27E-05;#N/A
3193;CLDND1;9.27E-05;#N/A
3194;MYBL2;9.27E-05;#N/A
3195;NDUFAF3;9.27E-05;#N/A
3196;LIN7A;9.26E-05;#N/A
3197;NME1;9.26E-05;#N/A
3198;PRMT8;9.26E-05;#N/A
3199;PSMD5;9.26E-05;#N/A
3200;ALDH2;9.26E-05;x
3201;AP3B1;9.25E-05;#N/A
3202;PDE6D;9.25E-05;#N/A
3203;RIOK1;9.24E-05;#N/A
3204;PKP2;9.24E-05;#N/A
3205;VAMP8;9.24E-05;#N/A
3206;P4HA1;9.24E-05;#N/A
3207;USP13;9.24E-05;#N/A
3208;WAPL;9.24E-05;#N/A
3209;HSD17B10;9.23E-05;#N/A
3210;PHLDA3;9.23E-05;#N/A
3211;CYBRD1;9.22E-05;#N/A
3212;TARS1;9.22E-05;#N/A
