No.;Gene name;Score;Oncogene or Tumor Suppresson gene
11027;SNX15;6.72E-07;#N/A
11028;DNAJC10;6.71E-07;#N/A
11029;AP3S2;6.71E-07;#N/A
11030;CNIH4;6.70E-07;#N/A
11031;SERPINI1;6.70E-07;#N/A
11032;DCUN1D4;6.70E-07;#N/A
11033;FUNDC2;6.68E-07;#N/A
11034;CD276;6.64E-07;x
11035;RPUSD3;6.63E-07;#N/A
11036;SGCD;6.62E-07;#N/A
11037;ERGIC1;6.61E-07;#N/A
11038;RBMX2;6.61E-07;#N/A
11039;REM1;6.59E-07;#N/A
11040;CCDC50;6.52E-07;#N/A
11041;TMCO6;6.51E-07;#N/A
11042;FAM83G;6.49E-07;#N/A
11043;HDGFL3;6.49E-07;#N/A
11044;C7orf25;6.48E-07;#N/A
11045;MRFAP1;6.46E-07;#N/A
11046;ARMC7;6.46E-07;#N/A
11047;SBDS;6.43E-07;#N/A
11048;CYB5B;6.42E-07;#N/A
11049;RSL24D1;6.42E-07;#N/A
11050;TSEN34;6.41E-07;#N/A
11051;PEBP4;6.40E-07;#N/A
11052;TMEM38B;6.40E-07;#N/A
11053;FABP2;6.39E-07;#N/A
11054;C17orf80;6.37E-07;#N/A
11055;MTCH1;6.37E-07;#N/A
11056;S100A2;6.36E-07;#N/A
11057;PEX13;6.36E-07;#N/A
11058;NUTF2;6.35E-07;#N/A
11059;PAQR6;6.34E-07;#N/A
11060;CYSTM1;6.34E-07;#N/A
11061;TSPAN13;6.34E-07;#N/A
11062;C18orf32;6.34E-07;#N/A
11063;CRIP1;6.34E-07;#N/A
11064;DPY19L2;6.32E-07;#N/A
11065;ASPRV1;6.31E-07;#N/A
11066;NOC3L;6.31E-07;#N/A
11067;FAM161A;6.31E-07;#N/A
11068;NGB;6.31E-07;#N/A
11069;ZCCHC12;6.30E-07;#N/A
11070;RSPH10B2;6.29E-07;#N/A
11071;GTF2IRD2B;6.28E-07;#N/A
11072;ATAD1;6.26E-07;#N/A
11073;PIR;6.26E-07;#N/A
11074;VPS53;6.25E-07;#N/A
