No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3100;SDC2;9.64E-05;#N/A
3101;USP13;9.64E-05;#N/A
3102;TAF5;9.63E-05;#N/A
3103;EDNRA;9.62E-05;#N/A
3104;POLB;9.62E-05;#N/A
3105;DPYSL3;9.62E-05;#N/A
3106;NDUFB8;9.62E-05;#N/A
3107;HECTD2;9.62E-05;#N/A
3108;THAP7;9.62E-05;#N/A
3109;KLHDC8A;9.61E-05;#N/A
3110;EGR1;9.61E-05;x
3111;PIM2;9.61E-05;#N/A
3112;CRYBA4;9.61E-05;#N/A
3113;WDHD1;9.60E-05;#N/A
3114;SLC30A8;9.60E-05;#N/A
3115;TTR;9.60E-05;#N/A
3116;USP32;9.60E-05;#N/A
3117;RORB;9.60E-05;#N/A
3118;BRCC3;9.60E-05;#N/A
3119;HNRNPUL1;9.60E-05;#N/A
3120;OCIAD1;9.60E-05;#N/A
3121;SPOCK3;9.59E-05;#N/A
3122;HDAC8;9.59E-05;#N/A
3123;LRRC46;9.59E-05;#N/A
3124;MYH11;9.58E-05;x
3125;THAP1;9.58E-05;#N/A
3126;NRP1;9.58E-05;#N/A
3127;DOK4;9.57E-05;#N/A
3128;PSG9;9.57E-05;#N/A
3129;EXOC3;9.57E-05;#N/A
3130;BCL3;9.57E-05;x
3131;VTN;9.56E-05;#N/A
3132;POLE3;9.56E-05;#N/A
3133;NAT10;9.56E-05;#N/A
3134;SUPT6H;9.55E-05;#N/A
3135;LAMA1;9.55E-05;#N/A
3136;ARHGDIA;9.55E-05;#N/A
3137;PDCD10;9.55E-05;#N/A
3138;MLST8;9.54E-05;#N/A
3139;SHANK1;9.54E-05;#N/A
3140;RPL15;9.54E-05;#N/A
3141;PHLDA3;9.53E-05;#N/A
3142;ATF3;9.53E-05;#N/A
3143;P4HA1;9.53E-05;#N/A
3144;CBY1;9.52E-05;#N/A
3145;OBSL1;9.51E-05;#N/A
3146;PSMD5;9.51E-05;#N/A
3147;PRKCE;9.51E-05;#N/A
3148;FAM135B;9.50E-05;#N/A
3149;DNMT3A;9.50E-05;x
3150;CBFA2T3;9.50E-05;x
3151;FOXN1;9.49E-05;#N/A
3152;KIF14;9.49E-05;#N/A
3153;NDUFV2;9.49E-05;#N/A
3154;GPR37;9.49E-05;#N/A
3155;NOS1AP;9.49E-05;#N/A
3156;PRKAG1;9.48E-05;#N/A
3157;AHSA1;9.48E-05;#N/A
3158;IBTK;9.47E-05;#N/A
3159;CCDC74B;9.47E-05;#N/A
3160;NFRKB;9.47E-05;#N/A
3161;SULT1B1;9.47E-05;#N/A
3162;USP33;9.47E-05;#N/A
3163;TRAPPC9;9.47E-05;#N/A
3164;GLRX3;9.46E-05;#N/A
3165;POLD1;9.46E-05;x
3166;PKN1;9.46E-05;#N/A
3167;EDC4;9.45E-05;#N/A
3168;RFC5;9.44E-05;#N/A
3169;PLVAP;9.44E-05;#N/A
3170;BRMS1;9.43E-05;#N/A
3171;RAB3IL1;9.43E-05;#N/A
3172;NDUFA7;9.43E-05;#N/A
3173;ARFGEF2;9.43E-05;#N/A
3174;HLTF;9.43E-05;#N/A
3175;COPB2;9.42E-05;#N/A
3176;SPECC1L;9.41E-05;#N/A
3177;DENND4A;9.41E-05;#N/A
3178;KATNA1;9.41E-05;#N/A
3179;MASTL;9.41E-05;#N/A
3180;NUP133;9.40E-05;#N/A
3181;JOSD2;9.40E-05;#N/A
3182;VENTX;9.40E-05;#N/A
3183;HSD17B10;9.40E-05;#N/A
3184;ATG7;9.40E-05;#N/A
3185;CEP63;9.40E-05;#N/A
3186;APOA5;9.39E-05;#N/A
3187;DDX1;9.39E-05;#N/A
3188;TBL1X;9.39E-05;#N/A
3189;RNF20;9.39E-05;#N/A
3190;MID1;9.39E-05;#N/A
3191;PLS1;9.39E-05;#N/A
3192;EIF2B4;9.38E-05;#N/A
3193;RARS1;9.38E-05;#N/A
3194;TFPT;9.38E-05;#N/A
3195;IPO13;9.37E-05;#N/A
3196;PTPRN;9.37E-05;#N/A
3197;COPE;9.37E-05;#N/A
3198;DYNLT1;9.37E-05;#N/A
3199;VDAC2;9.37E-05;#N/A
3200;TAX1BP1;9.37E-05;#N/A
3201;ANKFY1;9.37E-05;#N/A
3202;ACP5;9.37E-05;#N/A
3203;RIOK1;9.37E-05;#N/A
3204;TNIK;9.36E-05;#N/A
3205;NAALADL2;9.36E-05;#N/A
3206;TACC1;9.36E-05;#N/A
3207;NFYC;9.36E-05;#N/A
3208;IRF1;9.35E-05;x
3209;BSCL2;9.35E-05;#N/A
3210;H2AC7;9.34E-05;#N/A
3211;CALU;9.34E-05;#N/A
3212;PTCD3;9.33E-05;#N/A
3213;ERCC3;9.33E-05;x
3214;PLXNA3;9.33E-05;#N/A
3215;IL2RG;9.33E-05;#N/A
3216;PPP4R3A;9.32E-05;#N/A
3217;QARS1;9.32E-05;#N/A
3218;VAMP8;9.32E-05;#N/A
3219;TTI1;9.31E-05;#N/A
3220;PDIA6;9.31E-05;#N/A
3221;GPAM;9.31E-05;#N/A
3222;ING1;9.31E-05;x
3223;IGHG1;9.31E-05;#N/A
3224;MED25;9.30E-05;#N/A
3225;PAEP;9.30E-05;#N/A
3226;CENPE;9.30E-05;#N/A
3227;LMX1B;9.30E-05;#N/A
3228;ITGB4;9.30E-05;#N/A
3229;HDGFL2;9.29E-05;#N/A
3230;NDUFAF1;9.28E-05;#N/A
3231;ACVR2A;9.28E-05;x
3232;HSPH1;9.28E-05;#N/A
3233;CDK5RAP2;9.28E-05;#N/A
3234;PLXNB1;9.28E-05;#N/A
3235;IL22;9.28E-05;#N/A
3236;GABPA;9.27E-05;#N/A
