No.;Gene name;Score;Oncogene or Tumor Suppresson gene
241;SOX2;0.000507716;x
242;RPA1;0.000505742;#N/A
243;WDR48;0.000503446;#N/A
244;EPHB1;0.000503236;x
245;RASA1;0.000496519;x
246;SMARCA1;0.000496372;x
247;TCF3;0.000496354;x
248;FRS2;0.000496326;x
249;PBRM1;0.000495602;x
250;CCND1;0.000494377;x
251;MYH11;0.000493824;x
252;STK24;0.000492319;#N/A
253;PIK3CB;0.00049058;x
254;RXRA;0.000490213;#N/A
255;LRP1B;0.000486991;x
256;PLK3;0.000486981;#N/A
257;VCP;0.00048684;#N/A
258;EFNB2;0.000486515;#N/A
259;USP7;0.000485832;#N/A
260;USP9X;0.000484666;#N/A
261;INSR;0.00048416;x
262;NCOA1;0.000483884;#N/A
263;SMARCA5;0.000482167;#N/A
264;NCK1;0.000482047;#N/A
265;ZFHX3;0.000479827;x
266;ERF;0.000478282;x
267;KIAA1671;0.000478136;#N/A
268;LCK;0.000475122;x
269;ZMYM3;0.000474544;x
270;NCK2;0.000472528;#N/A
271;KRTAP26-1;0.000472231;#N/A
272;SMARCC2;0.000471481;#N/A
273;NFKB2;0.000470731;#N/A
274;CFTR;0.000468603;#N/A
275;ITGB1;0.000468587;#N/A
276;RARA;0.000468564;#N/A
277;KRAS;0.000468551;x
278;AP2M1;0.000468402;#N/A
279;ERBB3;0.000467654;x
280;FGFR2;0.000466953;x
281;EWSR1;0.000465155;x
282;DLG1;0.000465093;#N/A
283;PPP2CB;0.000465011;#N/A
284;EZH2;0.000463658;x
285;ACTR2;0.000462945;#N/A
286;ABCB1;0.000462767;x
287;WDR5;0.00046203;#N/A
288;CCNE1;0.000461184;x
289;POT1;0.000461129;x
290;CAMKK2;0.000461112;#N/A
291;FOXK2;0.000460815;#N/A
292;DAXX;0.000459091;x
293;PCLO;0.000458994;#N/A
294;PIK3C3;0.000457252;#N/A
295;ARAF;0.000456463;x
296;SMC3;0.00045613;x
297;PSMC3;0.000455067;#N/A
298;YWHAH;0.000454835;#N/A
299;NFKBIA;0.000452747;x
300;DYNLL1;0.000452095;#N/A
301;CUL1;0.000451491;#N/A
302;VAV1;0.000450161;x
303;EGR1;0.00044898;x
304;SFN;0.000448189;#N/A
305;SNRNP40;0.000445651;#N/A
306;IGF1R;0.000443797;x
307;CTBP1;0.000443343;#N/A
308;RACGAP1;0.000441542;#N/A
309;FRMPD1;0.000440892;#N/A
310;CAND1;0.000438432;#N/A
311;CSNK1E;0.000438428;#N/A
312;CHD3;0.000438247;#N/A
313;SNX6;0.000435658;#N/A
314;RUNX1;0.000435074;x
315;PITPNM3;0.000434578;#N/A
316;BCL2;0.000434177;x
317;TGFBR2;0.000433397;x
318;CAV1;0.000432104;#N/A
319;TBP;0.000430699;#N/A
320;STAT1;0.000429835;#N/A
321;PRKACA;0.000428697;x
322;ILF3;0.000427986;#N/A
323;S100A7;0.000427519;#N/A
324;MRPL58;0.000426841;#N/A
325;FBXW11;0.000424508;#N/A
326;BUB1;0.00042237;#N/A
327;ILK;0.000422224;#N/A
328;APOA1;0.000422071;#N/A
329;RPA2;0.000421721;#N/A
330;GATB;0.000420737;#N/A
331;MND1;0.000420074;#N/A
332;SOCS3;0.000419475;x
333;PPARG;0.000419394;x
334;STK11;0.000419;x
335;POLR2B;0.000417859;#N/A
336;SOX14;0.000414019;#N/A
337;PSMC5;0.000413281;#N/A
338;PAK2;0.000413209;#N/A
339;BAX;0.000413195;#N/A
340;YAP1;0.000412921;x
341;RECQL;0.000412472;x
342;VLDLR;0.000412202;#N/A
343;FOXB1;0.000412134;#N/A
344;MAX;0.00041039;x
345;IRS1;0.000408392;x
346;M6PR;0.000408332;#N/A
347;CCNH;0.000407854;#N/A
348;SYNCRIP;0.000407619;#N/A
349;TAF1;0.000405674;x
350;ZNF281;0.000404768;#N/A
351;PDPK1;0.000404642;#N/A
352;VAPA;0.000402072;#N/A
353;HNRNPA1;0.000402066;#N/A
354;CDC37;0.000401668;#N/A
355;OTUB1;0.000399511;#N/A
356;CRKL;0.000399413;x
357;RBX1;0.000397851;#N/A
358;XPO1;0.000396929;x
359;POMC;0.000396745;#N/A
360;FBXO11;0.00039643;x
361;SSRP1;0.00039436;#N/A
362;SYK;0.000393986;x
363;MAPK6;0.000393728;#N/A
364;TERT;0.000393104;x
365;RUVBL1;0.000392237;#N/A
366;CSNK1A1;0.000391997;#N/A
367;APP;0.000391952;#N/A
368;XIAP;0.000391041;x
369;GAB2;0.000389978;x
370;SOS2;0.000389561;#N/A
371;PIK3CD;0.000389005;x
372;ATR;0.000387655;x
373;TNFRSF1A;0.000386713;#N/A
374;HIF1AN;0.000386192;#N/A
375;SCAF11;0.000385571;#N/A
376;GLI1;0.000384401;x
377;IRS4;0.000383881;#N/A
378;PRPF40A;0.000383364;#N/A
379;CEBPB;0.000383294;#N/A
380;AKT2;0.000382753;x
381;NRAS;0.000382512;x
382;SUV39H1;0.000381991;#N/A
383;PSMD4;0.000381741;#N/A
384;IQCB1;0.000381678;#N/A
385;FOXJ2;0.000381379;#N/A
386;PDE3B;0.000381033;#N/A
387;CDC27;0.000381021;#N/A
388;LGALS3;0.000379811;#N/A
389;CDCA5;0.000379804;#N/A
390;RICTOR;0.000379669;x
391;TRRAP;0.000379606;#N/A
