No.;Gene name;Score;Oncogene or Tumor Suppresson gene
420;POMK;0.000331857;#N/A
421;WIPF2;0.000331689;#N/A
422;SKP1;0.000331439;#N/A
423;JMJD1C;0.000330966;#N/A
424;SYNPO;0.00033075;#N/A
425;CCDC88A;0.000329483;#N/A
426;MAP2K2;0.000329356;x
427;ZBTB33;0.000328393;#N/A
428;SENP1;0.000328169;#N/A
429;DSTYK;0.000327939;#N/A
430;GTSE1;0.000327887;#N/A
431;SDHAF1;0.000327497;#N/A
432;FGFR1;0.000326988;x
433;TRIM44;0.000326332;#N/A
434;MLLT10;0.000325939;x
435;VCL;0.000325929;#N/A
436;ANO6;0.000325865;#N/A
437;DSE;0.000325829;#N/A
438;DYRK1A;0.000325117;#N/A
439;RORA;0.000325072;#N/A
440;CFLAR;0.000324895;#N/A
441;PRKD3;0.000324798;#N/A
442;EXOC6B;0.000324334;#N/A
443;ZNHIT1;0.000324265;#N/A
444;ZXDA;0.000324211;#N/A
445;USP32;0.000323262;#N/A
446;POLR2L;0.000323217;#N/A
447;NUP205;0.000322935;#N/A
448;TMEM219;0.000322846;#N/A
449;IFI16;0.000322725;#N/A
450;VHL;0.00032229;x
451;DGCR6L;0.000322101;#N/A
452;ANKFY1;0.000321738;#N/A
453;TRAF1;0.000321674;#N/A
454;MAPK14;0.000321231;#N/A
455;MAP3K3;0.000321003;#N/A
456;HCK;0.000320872;#N/A
457;BAD;0.00032068;#N/A
458;EHF;0.000320648;#N/A
459;EFEMP2;0.000320494;#N/A
460;GTF3C4;0.00032021;#N/A
461;AKT1;0.000320138;x
462;SUV39H1;0.000319971;#N/A
463;PPP1CC;0.000319491;#N/A
464;UBE3A;0.000319405;#N/A
465;ZMYM1;0.000319361;#N/A
466;VIM;0.000319096;#N/A
467;SCARA3;0.000319066;#N/A
468;VCP;0.000319041;#N/A
469;PHC3;0.000318897;#N/A
470;MON2;0.00031888;#N/A
471;SPTLC1;0.000318483;#N/A
472;MBD3;0.000318152;#N/A
473;LGALS8;0.000317798;#N/A
474;SPTY2D1;0.000317794;#N/A
475;CDC20;0.000317712;#N/A
476;IL12RB1;0.000316789;#N/A
477;SORT1;0.000316713;#N/A
478;DCP1A;0.000316579;#N/A
479;MTF1;0.000316352;#N/A
480;CNOT6L;0.000316004;#N/A
481;WDR83OS;0.000315956;#N/A
482;BIN2;0.000315914;#N/A
483;BCL7C;0.000315646;#N/A
484;N4BP2;0.000315612;#N/A
485;WIPF1;0.000315466;#N/A
486;DYNC1LI2;0.000315271;#N/A
487;ALMS1;0.000315122;#N/A
488;HCLS1;0.000314924;#N/A
489;CD4;0.000314337;#N/A
490;OPA1;0.000313967;#N/A
491;BAZ2B;0.000313746;#N/A
492;PEAK1;0.000313269;#N/A
493;FANCM;0.000313082;x
494;GPX1;0.000313075;#N/A
495;ECSIT;0.000313003;x
496;TGFBR2;0.000312838;x
497;PPP1CB;0.000312566;#N/A
