No.;Gene name;Score;Oncogene or Tumor Suppresson gene
573;TUBA3C;0.000309374;#N/A
574;MRPL4;0.000309207;#N/A
575;MKI67;0.00030833;x
576;TERT;0.000307976;x
577;KPNB1;0.000307912;#N/A
578;FOXJ2;0.000307418;#N/A
579;ABHD12B;0.000307266;#N/A
580;FTCD;0.000306791;#N/A
581;PLAGL2;0.000306672;#N/A
582;FANCL;0.000306586;x
583;IKZF1;0.000306375;#N/A
584;PSMB1;0.00030612;#N/A
585;PRPF4;0.000305924;#N/A
586;RAD17;0.000305806;x
587;ACTR2;0.000305577;#N/A
588;STK11;0.000305554;x
589;THRA;0.000305031;#N/A
590;AURKB;0.000304652;x
591;CDH2;0.000304547;x
592;PSMD11;0.000304065;#N/A
593;PSMA2;0.000303012;#N/A
594;FOXB1;0.000302981;#N/A
595;BTK;0.00030295;x
596;PSMA7;0.000302885;#N/A
597;GLI1;0.000302289;x
598;CENPS;0.000302253;#N/A
599;WNT2;0.00030221;#N/A
600;TJP1;0.000301924;#N/A
601;SMARCD1;0.000301602;#N/A
602;PSMA3;0.000301239;#N/A
603;NTRK1;0.000300943;x
604;SRRM2;0.000300255;#N/A
605;CENPO;0.000299997;#N/A
606;ZNF239;0.000299532;#N/A
607;ITCH;0.00029904;#N/A
608;RPA3;0.000298599;#N/A
609;SF3B1;0.000298319;x
610;NCOA2;0.000297529;#N/A
611;FOXE1;0.000297286;#N/A
612;XPO5;0.000297214;#N/A
613;IGF1;0.000297173;x
614;GLI3;0.000296602;#N/A
615;SORT1;0.00029637;#N/A
616;TUBB2B;0.000296018;#N/A
617;TELO2;0.000295705;#N/A
618;SGTA;0.000295674;#N/A
619;COL5A1;0.000295433;#N/A
620;E2F3;0.000294953;x
621;NCAPG;0.000294888;#N/A
622;TONSL;0.000294053;#N/A
623;NONO;0.000294023;#N/A
624;SUZ12;0.000293798;x
625;EPHA3;0.000293598;x
626;PTPRO;0.000292819;#N/A
627;PPP5C;0.000292093;#N/A
628;SPI1;0.00029179;#N/A
629;FOXO1;0.000290925;x
630;CDC27;0.000290912;#N/A
631;PDPK1;0.000289897;#N/A
632;IFI16;0.000289352;#N/A
633;CTNNA1;0.000289347;x
634;MDFI;0.000288609;#N/A
635;H3C15;0.000288572;#N/A
636;NRG1;0.000288534;x
637;ACTR8;0.000288152;#N/A
638;PLK4;0.000287898;#N/A
639;SOX30;0.000287527;#N/A
640;PROM1;0.000287383;#N/A
641;GTF2E2;0.000287317;#N/A
642;NUP98;0.000287259;x
643;TAF4;0.000287188;#N/A
644;GLIS3;0.000287133;#N/A
645;NKD1;0.00028697;#N/A
646;SMARCB1;0.000286849;x
647;CTR9;0.000286537;x
648;NR2C2;0.00028616;#N/A
649;RAVER1;0.000285897;#N/A
650;NUP214;0.000285798;x
651;NUDCD1;0.000285064;#N/A
652;MED24;0.000284225;#N/A
653;KNTC1;0.000283727;#N/A
654;TPR;0.000282913;#N/A
655;EPHB1;0.000282779;x
656;SSX2B;0.000282777;#N/A
657;NEDD8;0.000282064;#N/A
658;LHX8;0.000281909;#N/A
659;HSPA9;0.000281565;#N/A
660;SS18L1;0.000281256;#N/A
661;EZR;0.000281203;#N/A
662;FANCC;0.000281128;x
663;CDH11;0.000280151;x
664;WAS;0.000279686;#N/A
665;XIAP;0.000279064;x
