No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3287;IST1;8.46E-05;#N/A
3288;HAUS7;8.45E-05;#N/A
3289;CDC25A;8.45E-05;#N/A
3290;GPA33;8.45E-05;#N/A
3291;CENPK;8.45E-05;#N/A
3292;SIAH2;8.44E-05;#N/A
3293;HNF4G;8.43E-05;#N/A
3294;NOLC1;8.43E-05;#N/A
3295;PLAGL2;8.43E-05;#N/A
3296;KPTN;8.43E-05;#N/A
3297;CEP97;8.42E-05;#N/A
3298;SULT1B1;8.42E-05;#N/A
3299;RB1CC1;8.42E-05;#N/A
3300;KLHL12;8.42E-05;#N/A
3301;WDR26;8.42E-05;#N/A
3302;GINS4;8.42E-05;#N/A
3303;MYBL2;8.42E-05;#N/A
3304;NIT1;8.41E-05;#N/A
3305;ATG5;8.41E-05;#N/A
3306;FCGR1A;8.40E-05;#N/A
3307;ZNF451;8.40E-05;#N/A
3308;FNTB;8.40E-05;#N/A
3309;TIMMDC1;8.39E-05;#N/A
3310;NFRKB;8.39E-05;#N/A
3311;DCBLD2;8.38E-05;#N/A
3312;NOD2;8.38E-05;#N/A
3313;DDHD2;8.38E-05;#N/A
3314;C5orf24;8.37E-05;#N/A
3315;IRX4;8.37E-05;#N/A
3316;MAT2A;8.37E-05;#N/A
3317;EXOSC5;8.37E-05;#N/A
3318;NOL7;8.37E-05;#N/A
3319;GINS3;8.36E-05;#N/A
3320;MAPK13;8.36E-05;#N/A
3321;RPRD2;8.36E-05;#N/A
3322;ARFGEF1;8.36E-05;#N/A
3323;CKAP4;8.36E-05;#N/A
3324;LDHAL6B;8.36E-05;#N/A
3325;CCDC93;8.36E-05;#N/A
3326;ZKSCAN4;8.35E-05;#N/A
3327;HBA1;8.35E-05;#N/A
3328;SIX1;8.35E-05;#N/A
3329;UBA1;8.35E-05;x
3330;CEBPZ;8.35E-05;#N/A
3331;GALNT4;8.34E-05;#N/A
3332;TMEM171;8.34E-05;#N/A
3333;AP1G1;8.33E-05;#N/A
3334;RPS27;8.33E-05;#N/A
3335;RNASE13;8.33E-05;#N/A
3336;TUBB1;8.33E-05;#N/A
3337;BCL2L12;8.32E-05;#N/A
3338;RNF43;8.32E-05;x
3339;VEGFB;8.32E-05;#N/A
3340;TK1;8.32E-05;#N/A
