No.;Gene name;Oncogene or Tumor Suppresson gene
;TFDP2;#N/A
;RDH12;#N/A
;CCL3L1;#N/A
;PLAGL1;#N/A
;EXOSC3;#N/A
;SPTBN4;#N/A
;KIF13A;#N/A
;UHRF1;#N/A
;ZNF624;#N/A
;LSR;#N/A
;CEP70;#N/A
;PRKG2;#N/A
;EPC1;#N/A
;DENND4C;#N/A
;DCN;#N/A
;PRLR;#N/A
;CSF3R;x
;PLD2;#N/A
;NR1D1;#N/A
;PAK6;#N/A
;CKAP4;#N/A
;WDR4;#N/A
;CHRM3;#N/A
;EDNRA;#N/A
;PAQR3;#N/A
;RAB3A;#N/A
;KDM4B;#N/A
;ITM2A;#N/A
;RNF32;#N/A
;SULF1;#N/A
;COPE;#N/A
;MRPS26;#N/A
;POLE;x
;OGT;#N/A
;IRAK3;#N/A
;KDM1B;#N/A
;AHR;#N/A
;ESCO2;x
;NGFR;#N/A
;BRIX1;#N/A
;RPA2;#N/A
;SMG1;x
;MSI2;x
;DNAAF1;#N/A
;ACVR2B;#N/A
;DKK1;#N/A
;TANK;#N/A
;ETS2;#N/A
;PLG;#N/A
;CHRNB2;#N/A
;TNFRSF10B;#N/A
;S100B;#N/A
;CCNT1;#N/A
;PPFIA1;#N/A
;C1orf43;#N/A
;PAX5;x
;CASP2;#N/A
;MMS22L;#N/A
;APOA1;#N/A
;PARP12;#N/A
;MYCBP;#N/A
;ANAPC4;#N/A
;SNRPE;#N/A
;BAZ1B;#N/A
;RAB39B;#N/A
;SRPRB;#N/A
;NSUN5;#N/A
;MX1;#N/A
;UBE2D2;#N/A
;GNA12;x
;EHMT2;#N/A
;RBSN;#N/A
;DOK1;#N/A
;SRP9;#N/A
;BTG1;x
;EIF6;#N/A
;MAP3K2;#N/A
;GGPS1;#N/A
;DIAPH3;#N/A
;DDX3X;x
;TEAD1;#N/A
;PKN1;#N/A
;HAUS8;#N/A
;LAG3;#N/A
;HSP90B1;#N/A
;UPF1;#N/A
;NTF4;#N/A
;FRK;#N/A
;SBSN;#N/A
;COL5A2;#N/A
;KNTC1;#N/A
;CCDC24;#N/A
;RORA;#N/A
;SELENOP;#N/A
;PTPN20;#N/A
;IGFBP1;#N/A
;GSN;#N/A
;SEC61A2;#N/A
;LAMA4;#N/A
;TP53BP1;x
;DEF6;#N/A
;GLI3;#N/A
;ZNF496;#N/A
;BIRC3;x
;C1orf112;#N/A
;INTS8;#N/A
;SNRPF;#N/A
;PPM1D;x
;CWC22;#N/A
;PLK3;#N/A
;HPN;#N/A
;SUFU;x
;MASTL;#N/A
;CTNND1;#N/A
;NR1D2;#N/A
;SOX6;#N/A
;KDM4A;#N/A
;STX6;#N/A
;GIPC1;#N/A
;HIPK1;#N/A
;PAX8;x
;AFAP1L2;#N/A
;ULK2;#N/A
;PKN2;#N/A
;ELF1;#N/A
;PRKD2;#N/A
;APOC2;#N/A
;CDCA3;#N/A
;AGER;#N/A
;ATG14;#N/A
;LRRTM2;#N/A
;CHRNA4;#N/A
;NR4A2;#N/A
;FOXC2;#N/A
;ATRX;x
;CR1;#N/A
;PMM2;#N/A
;TARS2;#N/A
;WDR90;#N/A
;DERL2;#N/A
;PYHIN1;#N/A
;TNFSF13B;#N/A
;CLCN7;#N/A
;SP100;#N/A
;FLCN;x
;CHRNA9;#N/A
;CCL4;#N/A
;PMS2;x
;HHIP;#N/A
;CPE;#N/A
;NR3C2;#N/A
;PIP5K1C;#N/A
;ELF2;#N/A
;STXBP1;#N/A
;CD36;#N/A
;DNAH14;#N/A
;MRPS34;#N/A
;DDIT4;#N/A
;ZNF711;#N/A
;EVL;#N/A
;RELB;#N/A
;CARD9;#N/A
;CAPG;#N/A
;IL13;#N/A
;CAMP;#N/A
;SMC3;x
;ZNF398;#N/A
;RAPGEF3;#N/A
;PYCR1;#N/A
;ACSL5;#N/A
;PRL;#N/A
;NF2;x
;HASPIN;#N/A
;ANXA1;#N/A
;FES;x
;VIPR1;#N/A
;MDK;#N/A
;DYNC1I1;#N/A
;CEND1;#N/A
;HNRNPD;#N/A
;KIF22;#N/A
;TERF2;#N/A
;PLXNB1;#N/A
;ZNF703;#N/A
;RORB;#N/A
;CFTR;#N/A
;RORC;#N/A
;WIF1;x
;N4BP3;#N/A
;LPXN;#N/A
;NFE2;x
;STX17;#N/A
;FOXC1;#N/A
;ZFP90;#N/A
;CAB39L;#N/A
;GLB1;#N/A
;FOXA2;#N/A
;ATAD5;#N/A
;GLI2;#N/A
;CENPU;#N/A
;NEDD4;#N/A
;PSTPIP1;#N/A
;IQGAP2;#N/A
;STRADA;#N/A
;IL13RA1;#N/A
;VAC14;#N/A
;PABPN1;#N/A
;LCP2;#N/A
;SH3GL3;#N/A
;ZKSCAN3;#N/A
;EED;x
;SCIN;#N/A
;HELLS;#N/A
;GSTM4;#N/A
;ADRB2;#N/A
;EIF2AK4;#N/A
;FOXO6;#N/A
;NTS;#N/A
;STX7;#N/A
;H2BC11;#N/A
;TRAF7;#N/A
;PBX1;#N/A
;WDHD1;#N/A
;GNAT1;#N/A
;ANKHD1;#N/A
;NCOA2;#N/A
;RAP2A;#N/A
;TNFAIP6;#N/A
;SH3BP5L;#N/A
;H2BC3;#N/A
;CCDC148;#N/A
;TMUB1;#N/A
;CCL22;#N/A
;BEX3;#N/A
;MDC1;#N/A
;FLOT1;#N/A
;GSTA2;#N/A
;UBE2T;#N/A
;ANK3;#N/A
;SERINC1;#N/A
;SGTB;#N/A
;SH3GL1;#N/A
;MLLT3;x
;ALDOA;#N/A
;FPR1;#N/A
;CRH;#N/A
;H2BC12;#N/A
;DRD2;#N/A
;STRADB;#N/A
;H1-2;#N/A
;LINGO1;#N/A
;H2BU1;#N/A
;ITGB5;#N/A
;PNKD;#N/A
;SKAP1;#N/A
;UBE2D1;#N/A
;CD200R1;#N/A
;STRBP;#N/A
;PRKCI;x
;IRF9;#N/A
;NFATC4;#N/A
;NSMAF;#N/A
;THBS3;#N/A
;TSEN54;#N/A
;TUBA8;#N/A
;GRAP2;#N/A
;LSM4;#N/A
;SLC25A3;#N/A
;LTA;#N/A
;ARNT;#N/A
;GHRL;#N/A
;PHC2;#N/A
;ARPC4;#N/A
;APOD;#N/A
;HSD17B6;#N/A
;POP1;#N/A
;FOXG1;#N/A
;P2RY12;#N/A
;STAM;#N/A
;KDM3A;#N/A
;JAG2;#N/A
;IGSF8;#N/A
;ADAR;#N/A
;GABRA4;#N/A
;TAB1;#N/A
;MRPL42;#N/A
;MC1R;#N/A
;RING1;#N/A
;SSTR5;#N/A
;SSTR1;#N/A
;FNIP1;#N/A
;PAG1;#N/A
;DGKD;#N/A
;AIPL1;#N/A
;CD79B;x
;S1PR2;#N/A
;JUND;#N/A
;EPHA3;x
;FLNC;#N/A
;EIF4E2;#N/A
;FCGR3A;#N/A
;ITGB3BP;#N/A
;TPI1;#N/A
;WDR55;#N/A
;USP19;#N/A
;QPCTL;#N/A
;NHP2;#N/A
;PTPN2;x
;RAB3IP;#N/A
;NPAT;#N/A
;CTSL;#N/A
;COX6C;#N/A
;FXR1;#N/A
;CKAP2;#N/A
;TFE3;x
;KLRC2;#N/A
;TLR1;#N/A
;WASF1;#N/A
;STAM2;#N/A
;MAML3;#N/A
;B2M;x
;TF;#N/A
;SRSF9;#N/A
;DYRK1B;#N/A
;SPRED2;#N/A
;FSHB;#N/A
;ZNHIT2;#N/A
;KLRK1;#N/A
;NOS1;#N/A
;MRPL58;#N/A
;HIP1;#N/A
;ARHGEF1;#N/A
;MYOC;#N/A
;ERG;x
;CBX6;#N/A
;SDK1;#N/A
;VIP;#N/A
;ARHGEF12;x
;LRWD1;#N/A
;REEP4;#N/A
;SULT4A1;#N/A
;CDX2;#N/A
;CDK16;#N/A
;CCNG1;#N/A
;DRD1;#N/A
;AP1S1;#N/A
;CTPS1;#N/A
;ATF6;#N/A
;AKTIP;#N/A
;SSX2IP;#N/A
;MEMO1;#N/A
;GULP1;#N/A
;IL10RB;#N/A
;YES1;x
;CCL19;#N/A
;OSMR;#N/A
;PEAK1;#N/A
;GSTM1;#N/A
;NSMCE2;#N/A
;ACADVL;#N/A
;MRPL53;#N/A
;TOLLIP;#N/A
;LIMK2;#N/A
;NCOA6;#N/A
;ALDH18A1;#N/A
;VDAC3;#N/A
;RNF20;#N/A
;PHC3;#N/A
;DUSP4;x
;KCTD17;#N/A
;GIP;#N/A
;ZNF444;#N/A
;LCA5;#N/A
;CCR6;#N/A
;PTPRU;#N/A
;YIF1B;#N/A
;TRIM63;#N/A
;IGBP1;#N/A
;IPO8;#N/A
;RPL5;x
;LRRK1;#N/A
;LGALS9;#N/A
;RAMP2;#N/A
;ADM;#N/A
;SERPINE1;#N/A
;SNRPB;#N/A
;SOCS1;x
;LMX1B;#N/A
;NDUFS2;#N/A
;KRT5;#N/A
;RBBP6;#N/A
;MAP4K4;x
;ZYX;#N/A
;PCMT1;#N/A
;OPN1LW;#N/A
;FARSA;#N/A
;ALDH1A2;#N/A
;PDE1B;#N/A
;LASP1;#N/A
;SLAMF1;#N/A
;ANAPC2;#N/A
;FOXK1;#N/A
;TTI1;#N/A
;H3C15;#N/A
;NRBP1;#N/A
;CHERP;#N/A
;SERPINB7;#N/A
;GRN;#N/A
;CHD8;#N/A
;CATSPER1;#N/A
;SATB2;#N/A
;PRDM1;x
;XBP1;x
;TFAM;#N/A
;BRD4;x
;DPP4;#N/A
;PRMT5;#N/A
;MAML2;#N/A
;DCTN5;#N/A
;GMIP;#N/A
;ACTA1;#N/A
;SUZ12;x
;DOK2;#N/A
;GDF2;#N/A
;RPS7;#N/A
;ADIPOQ;#N/A
;MLF1;#N/A
;CLEC1B;#N/A
;IGFALS;#N/A
;RFFL;#N/A
;PLP1;#N/A
;PTGER3;#N/A
;FIP1L1;#N/A
;VLDLR;#N/A
;GRB10;#N/A
;FCGR2B;#N/A
;WASF2;#N/A
;CX3CR1;#N/A
;TIPIN;#N/A
;MAP4K1;#N/A
;RABGGTB;#N/A
;BCAS1;#N/A
;MRPS23;#N/A
;NEUROD1;#N/A
;VTN;#N/A
;THBS2;#N/A
;DTNBP1;#N/A
;SFXN1;#N/A
;CDC16;#N/A
;USP2;#N/A
;LIF;#N/A
;TRIP6;#N/A
;ZNF764;#N/A
;RPS3;#N/A
;IFITM1;#N/A
;ANKS1A;#N/A
;FBXO7;#N/A
;SOX17;x
;NOG;#N/A
;H1-5;x
;DHRS13;#N/A
;UBN2;#N/A
;RPL11;#N/A
;APBB1IP;#N/A
;MRPL47;#N/A
;CRELD2;#N/A
;CEP89;#N/A
;VPS35;#N/A
;MPND;#N/A
;SNRPG;#N/A
;POU1F1;#N/A
;HUS1;#N/A
;HDAC7;x
;KLF2;x
;RGS3;#N/A
;NFYA;#N/A
;HOXA5;#N/A
;MAP3K6;#N/A
;EXT1;x
;FGR;#N/A
;ZAP70;#N/A
;CD53;#N/A
;SPN;#N/A
;CDKN1C;x
;FCRL4;#N/A
;RPS4X;#N/A
;EXT2;#N/A
;VPS11;#N/A
;HTR3C;#N/A
;VIM;#N/A
;SMARCAD1;#N/A
;YY1;x
;RGMA;#N/A
;POSTN;#N/A
;TIE1;#N/A
;ANK2;#N/A
;LPAR1;#N/A
;SIPA1;#N/A
;RAP1GAP;#N/A
;RFPL3;#N/A
;RAD1;#N/A
;TOP1;x
;KIR2DL4;#N/A
;NFIB;#N/A
;CCL7;#N/A
;DIAPH1;#N/A
;FTH1;#N/A
;MMS19;#N/A
;CDC23;#N/A
;NFAT5;#N/A
;RTN4;#N/A
;ZIC3;#N/A
;SDCBP;#N/A
;SLC25A19;#N/A
;IL12RB2;#N/A
;SASS6;#N/A
;ICAM1;#N/A
;DHX30;#N/A
;NME2;#N/A
;NCF2;#N/A
;LRP2;#N/A
;RPS15A;#N/A
;TBX21;#N/A
;FAP;#N/A
;PHF8;#N/A
;ELMO1;#N/A
;RNF4;#N/A
;POU2F1;#N/A
;CHMP3;#N/A
;GSTA1;#N/A
;PPP2R2A;x
;TH;#N/A
;ZFYVE16;#N/A
;TG;#N/A
;SMPD1;#N/A
;CYBA;#N/A
;SOST;#N/A
;DAPP1;#N/A
;TP53INP2;#N/A
;CD226;#N/A
;RPS9;#N/A
;ANAPC5;#N/A
;RYK;#N/A
;CCL1;#N/A
;MRPL9;#N/A
;CIAO1;#N/A
;SAV1;#N/A
;EXOSC4;#N/A
;FXR2;#N/A
;PLSCR1;#N/A
;COL6A2;#N/A
;CACNA1F;#N/A
;CCK;#N/A
;PDZRN4;#N/A
;PRB3;#N/A
;PLAG1;#N/A
;NEK4;#N/A
;BMPR2;#N/A
;ZNF366;#N/A
;CXXC1;#N/A
;VRK2;#N/A
;VPS13B;#N/A
;RALBP1;#N/A
;PTGDS;#N/A
;IQGAP3;#N/A
;CIITA;x
;GRK3;#N/A
;MRPL55;#N/A
;PRKRA;#N/A
;PIK3C2A;#N/A
;RHOXF2;#N/A
;ANKAR;#N/A
;IFIT3;#N/A
;DNAJB2;#N/A
;FBXW9;#N/A
;FBF1;#N/A
;IL1RAP;#N/A
;PRMT6;#N/A
;NPHP4;#N/A
;GRB14;#N/A
;PDS5B;x
;ZC3H12A;#N/A
;PTPN12;#N/A
;PICALM;#N/A
;RND2;#N/A
;SEPTIN9;#N/A
;EEF2K;#N/A
;EML4;#N/A
;RSPO1;#N/A
;NCKAP1L;#N/A
;GABRE;#N/A
;PI4KB;#N/A
;WNK1;#N/A
;CAPNS1;#N/A
;MORN3;#N/A
;CCKBR;#N/A
;COPS3;#N/A
;DUSP16;#N/A
;MZT2A;#N/A
;EPS8L1;#N/A
;HTR3A;#N/A
;NMI;#N/A
;NT5DC3;#N/A
;ANAPC1;#N/A
;CEP290;#N/A
;CBFB;x
;PLXNA3;#N/A
;HTR2A;#N/A
;NET1;#N/A
;PHC1;#N/A
;UBR5;x
;KRT6A;#N/A
;PDE4A;#N/A
;NUDCD1;#N/A
;CCNC;#N/A
;ADAMTS1;#N/A
;NUPR1;#N/A
;TTN;#N/A
;ID1;x
;GSTA4;#N/A
;GSTA3;#N/A
;CCR7;#N/A
;AP2M1;#N/A
;ATP6V0D2;#N/A
;SNRPA1;#N/A
;GTF3C1;#N/A
;SNF8;#N/A
;CCL11;#N/A
;F10;#N/A
;HNRNPA1;#N/A
;COX6B1;#N/A
;PRKCH;#N/A
;ARF1;#N/A
;E2F4;#N/A
;KIF13B;#N/A
;MMP3;#N/A
;UTS2R;#N/A
;ZNF318;#N/A
;CD244;#N/A
;FERMT2;#N/A
;SIRPB1;#N/A
;NMB;#N/A
;CRHBP;#N/A
;COL2A1;x
;FAM83B;#N/A
;SNX22;#N/A
;EWSR1;x
;MFN2;#N/A
;NCR2;#N/A
;CDC42BPB;#N/A
;TRIM44;#N/A
;SYAP1;#N/A
;ADRA2A;#N/A
;NDP;#N/A
;CCL21;#N/A
;MTNR1A;#N/A
;IGFBP5;#N/A
;KDM6A;x
;RTKN;#N/A
;SQLE;#N/A
;NCKAP1;#N/A
;BPTF;#N/A
;IL1R1;#N/A
;WWOX;#N/A
;AGT;#N/A
;CHRNA1;#N/A
;TXK;#N/A
;SSTR4;#N/A
;PDE3A;#N/A
;STK16;#N/A
;PENK;#N/A
;FOSB;#N/A
;MRPL51;#N/A
;CDK2AP1;#N/A
;FOXL2;x
;PRMT7;#N/A
;DLC1;#N/A
;UBE2V1;#N/A
;GUCY2C;#N/A
;PDE7A;#N/A
;ULK3;#N/A
;GAST;#N/A
;SLK;#N/A
;ING1;x
;PDE4B;#N/A
;SS18L1;#N/A
;GNA14;#N/A
;CLIP3;#N/A
;GNAL;#N/A
;PPP1R1B;#N/A
;NTNG1;#N/A
;KIFAP3;#N/A
;RAD51B;x
;ADRA1D;#N/A
;ZNF281;#N/A
;BABAM1;#N/A
;APLN;#N/A
;TAF2;#N/A
;TIRAP;#N/A
;FUZ;#N/A
;SYT2;#N/A
;MYL9;#N/A
;HMOX1;#N/A
;CAPN15;#N/A
;MKLN1;#N/A
;KPTN;#N/A
;CACNA1S;#N/A
;DUSP10;#N/A
;CCR3;#N/A
;RAD9B;#N/A
;MYO18A;#N/A
;DHCR24;#N/A
;ANAPC10;#N/A
;GTF2A1;#N/A
;STAP1;#N/A
;PPP2R2D;#N/A
;BAZ2A;#N/A
;FRAT1;#N/A
;CHD1L;#N/A
;CXCR4;x
;EDF1;#N/A
;IGFBP4;#N/A
;PLK2;#N/A
;SETX;#N/A
;ABI2;#N/A
;ATP6V1B1;#N/A
;GPC3;x
;PDCD6;#N/A
;PDPN;#N/A
;CAND2;#N/A
;CACNA1C;#N/A
;SIGIRR;#N/A
;ABLIM1;#N/A
;KCNIP3;#N/A
;RAD17;x
;PLA2G4B;#N/A
;COX20;#N/A
;IL11;#N/A
;STX4;#N/A
;DUSP8;#N/A
;ZNF696;#N/A
;NEDD9;#N/A
;GSTA5;#N/A
;GSTO2;#N/A
;PPP1R9B;#N/A
;TESK1;#N/A
;RBM23;#N/A
;CLCF1;#N/A
;CABP4;#N/A
;NIF3L1;#N/A
;STXBP2;#N/A
;KARS1;#N/A
;AKAP8;#N/A
;DTX3L;#N/A
;TERF1;#N/A
;GRIA2;#N/A
;CLU;#N/A
;GTF2B;#N/A
;ELN;x
;PINX1;#N/A
;NELFB;#N/A
;LMBR1L;#N/A
;MCC;#N/A
;MCL1;x
;WDR5;#N/A
;PBX2;#N/A
;DNAJA2;#N/A
;GAS2L1;#N/A
;MTDH;#N/A
;KAT8;#N/A
;L3MBTL1;#N/A
;TFEB;#N/A
;PRKAR1A;x
;ZACN;#N/A
;TAGLN2;#N/A
;MGST1;#N/A
;ASXL1;x
;CAMLG;#N/A
;ARNTL;#N/A
;PLVAP;#N/A
;GSTO1;#N/A
;LGALS3BP;#N/A
;GSTT1;#N/A
;MDFIC;#N/A
;CEP72;#N/A
;TAMALIN;#N/A
;PYCR2;#N/A
;IMPA2;#N/A
;CARTPT;#N/A
;MGST3;#N/A
;PLA2G4F;#N/A
;PLCE1;#N/A
;PLA2G4C;#N/A
;EMILIN1;#N/A
;WNK3;#N/A
;YTHDF1;#N/A
;LDOC1;#N/A
;DUSP1;#N/A
;ITGB1BP2;#N/A
;TMED1;#N/A
;CEP250;#N/A
;TNFRSF17;x
;SESN2;x
;TNFSF18;#N/A
;VRK1;#N/A
;SH3BP4;#N/A
;DOT1L;x
;UBL5;#N/A
;SPC24;#N/A
;OPTN;#N/A
;NPR1;#N/A
;ATP6V1C2;#N/A
;TTC28;#N/A
;WDR77;#N/A
;MYOG;#N/A
;PPP2R2B;#N/A
;DAB2;#N/A
;IGFBP7;#N/A
;CNTFR;#N/A
;ELK3;#N/A
;DHPS;#N/A
;TNFRSF25;#N/A
;BAZ1A;#N/A
;LRRC45;#N/A
;PICK1;#N/A
;HCFC2;#N/A
;CLK2;#N/A
;RBMS3;#N/A
;ITLN1;#N/A
;COL6A1;#N/A
;NAA15;#N/A
;BANP;#N/A
;ENOPH1;#N/A
;CDK5RAP2;#N/A
;INPP5K;#N/A
;MPP1;#N/A
;ATRIP;x
;AKAP4;#N/A
;CDKL5;#N/A
;APBB2;#N/A
;RFC3;#N/A
;CD2AP;#N/A
;USP22;#N/A
;CD247;#N/A
;GDI2;#N/A
;FHL1;#N/A
;IPO7;#N/A
;DDX5;x
;LRPAP1;#N/A
;NSD3;#N/A
;KDM5C;x
;JSRP1;#N/A
;EEF1E1;#N/A
;PKD1;#N/A
;SNX1;#N/A
;LGALS9B;#N/A
;TNFRSF11B;#N/A
;SHANK2;#N/A
;AKAP10;#N/A
;PRKG1;#N/A
;CYFIP1;#N/A
;ITGB2;#N/A
;AAK1;#N/A
;RASSF2;#N/A
;CBFA2T3;x
;CAV2;#N/A
;SFXN5;#N/A
;SIX1;#N/A
;EDRF1;#N/A
;KCNIP2;#N/A
;NAE1;#N/A
;LACRT;#N/A
;LRR1;#N/A
;XPC;x
;CRLF1;#N/A
;HNF1B;#N/A
;ATP6V1H;#N/A
;CRX;#N/A
;RAVER1;#N/A
;SCO2;#N/A
;CSNK1D;#N/A
;SLC38A2;#N/A
;TGFBRAP1;#N/A
;NEDD4L;#N/A
;CHRNB3;#N/A
;TMCO1;#N/A
;GABRG2;#N/A
;TTBK1;#N/A
;NotFound;#N/A
;TNFSF14;#N/A
;CYFIP2;#N/A
;WAC;#N/A
;IGF2R;#N/A
;ANXA5;#N/A
;CD200;#N/A
;KLF11;#N/A
;ELMO2;#N/A
;ZIC1;#N/A
;LIMS1;#N/A
;CCPG1;#N/A
;SPIN1;#N/A
;HSD17B10;#N/A
;EPHB3;#N/A
;TCP11L2;#N/A
;TENM1;#N/A
;EHMT1;#N/A
;CCL8;#N/A
;FGA;#N/A
;NLK;#N/A
;SERPINB3;x
;INCA1;#N/A
;FUBP1;x
;GEM;#N/A
;OTX2;#N/A
;NTN1;#N/A
;RFPL2;#N/A
;TMEFF1;#N/A
;ENY2;#N/A
;THRAP3;#N/A
;POLQ;#N/A
;NUP107;#N/A
;CAD;x
;CABP5;#N/A
;SP3;#N/A
;MBP;#N/A
;ANKRD49;#N/A
;REG1B;#N/A
;ZXDA;#N/A
;DNAJA4;#N/A
;OTUB1;#N/A
;ITGB6;#N/A
;SRI;#N/A
;USP16;#N/A
;ABHD11;#N/A
;ITPKB;x
;RNF139;#N/A
;MAPRE3;#N/A
;HRG;#N/A
;CDC26;#N/A
;CAP1;#N/A
;CD46;#N/A
;REG3A;#N/A
;STK17B;#N/A
;CHRND;#N/A
;LMBR1;#N/A
;REG1A;#N/A
;IL11RA;#N/A
;PBX3;#N/A
;NUDT5;#N/A
;CPNE1;#N/A
;CLEC11A;#N/A
;PIH1D1;#N/A
;NPM3;#N/A
;GLS;#N/A
;FMR1;#N/A
;SOX10;x
;NCBP1;#N/A
;NFIL3;#N/A
;NSD1;x
;TPM3;#N/A
;TOB1;#N/A
;GLRA2;#N/A
;UFL1;#N/A
;ITGA8;#N/A
;PCID2;#N/A
;CD3D;#N/A
;PHF20;#N/A
;SALL1;#N/A
;KLF6;#N/A
;FAM170A;#N/A
;UBE2D3;#N/A
;PAX4;#N/A
;SH3BP5;#N/A
;HBP1;#N/A
;SNX5;#N/A
;NPAS2;#N/A
;RNF10;#N/A
;HMGB2;#N/A
;NR2F2;#N/A
;UBE2A;x
;RIT2;#N/A
;HTR3D;#N/A
;H2AZ2;#N/A
;NECAB3;#N/A
;ANXA11;#N/A
;CTNNBL1;#N/A
;SUPT3H;#N/A
;LNPEP;#N/A
;EPHB4;x
;FAM83H;#N/A
;CHRNE;#N/A
;IL18R1;#N/A
;NCR1;#N/A
;STAMBP;#N/A
;RLF;#N/A
;ALCAM;#N/A
;TADA2B;#N/A
;KLF8;#N/A
;LILRB2;#N/A
;AZU1;#N/A
;PDAP1;#N/A
;NOS1AP;#N/A
;SERTAD1;#N/A
;TOM1L1;#N/A
;S100A13;#N/A
;KANK2;#N/A
;MAMLD1;#N/A
;PPP4R1;#N/A
;LGALS9C;#N/A
;ATXN7L3;#N/A
;INO80;#N/A
;CORO6;#N/A
;SPOP;x
;S100A6;#N/A
;CRLF3;#N/A
;NEK6;#N/A
;LTB;x
;IRF4;x
;GDF9;#N/A
;ZBTB7A;x
;COPS8;#N/A
;GLMN;#N/A
;LEPR;#N/A
;ZNF16;#N/A
;NPR2;#N/A
;RSU1;#N/A
;SUPT16H;#N/A
;ZNF580;#N/A
;GABRB3;#N/A
;TRIM56;#N/A
;TRIP4;#N/A
;PTPN14;x
;FKBP5;#N/A
;FABP3;#N/A
;MARCHF7;#N/A
;GABRA1;#N/A
;MYSM1;#N/A
;MKRN2;#N/A
;IMPA1;#N/A
;TADA2A;#N/A
;NUDT6;#N/A
;IFI35;#N/A
;ATF7IP;#N/A
;GATAD1;#N/A
;RIMS2;#N/A
;DHX36;#N/A
;TES;#N/A
;SKAP2;#N/A
;HTR3E;#N/A
;ZXDC;#N/A
;GATA6;x
;DR1;#N/A
;BRAT1;#N/A
;CHP2;#N/A
;ARFRP1;#N/A
;EZH1;x
;LPAR4;#N/A
;BCAM;#N/A
;HOXA11;x
;CSNK1G2;#N/A
;PIP;#N/A
;ATP1B4;#N/A
;HBS1L;#N/A
;CREM;#N/A
;AIRE;#N/A
;GKAP1;#N/A
;SIK1;#N/A
;FAM83C;#N/A
;PDF;#N/A
;GABPA;#N/A
;GUCY1A2;#N/A
;HTR3B;#N/A
;INO80C;#N/A
;RASD2;#N/A
;NPM2;#N/A
;SERPINB9;#N/A
;MYOM1;#N/A
;HCCS;#N/A
;FBXO5;#N/A
;TNFSF15;#N/A
;RAP2B;#N/A
;BCAR3;#N/A
;SIK2;#N/A
;INPP1;#N/A
;CDK10;#N/A
;CHRNA5;#N/A
;ARHGAP35;x
;ALOX12B;x
;GTPBP1;#N/A
;CAP2;#N/A
;TCP11L1;#N/A
;CDX4;#N/A
;P3H3;#N/A
;SSR1;#N/A
;LMTK2;#N/A
;EIF5A;#N/A
;CHI3L1;#N/A
;CORO1C;#N/A
;CSNK1G3;#N/A
;BNC1;#N/A
;TAF6L;#N/A
;ARNTL2;#N/A
;EIF4G2;#N/A
;CD47;#N/A
;TNK1;#N/A
;DPYSL2;#N/A
;OSTF1;#N/A
;EPB41L4B;#N/A
;GSTP1;#N/A
;ZP3;#N/A
;RPS6KC1;#N/A
;CLIC3;#N/A
;DPYSL5;#N/A
;TRIM33;#N/A
;TRIM54;#N/A
;PCBD2;#N/A
;APPL2;#N/A
;RIT1;x
;SEC16B;#N/A
;ROBO1;x
;GRIA1;#N/A
;SEH1L;#N/A
;MAK;#N/A
;EIF5A2;#N/A
;TDGF1;#N/A
;UMOD;#N/A
;PPP1R15A;#N/A
;ASIC3;#N/A
;TOM1;#N/A
;EGFLAM;#N/A
;MAFB;x
;NDRG2;#N/A
;HINT1;#N/A
;CLIC1;#N/A
;CGRRF1;#N/A
;RFX3;#N/A
;PLEKHA1;#N/A
;HFE;x
;CHD5;#N/A
;BNIPL;#N/A
;DEAF1;#N/A
;PPM1F;#N/A
;MICAL1;#N/A
;CHRNG;#N/A
;RBM5;#N/A
;ARL2BP;#N/A
;MLLT11;#N/A
;MSTN;#N/A
;BGN;#N/A
;RCVRN;#N/A
;RGS19;#N/A
;PIK3C2B;x
;PHF5A;#N/A
;C1QTNF1;#N/A
;PKHD1;#N/A
;SIGLEC8;#N/A
;NRGN;#N/A
;LRP12;#N/A
;MCTS1;#N/A
;CD24;#N/A
;MEX3B;#N/A
;WBP2NL;#N/A
;RASD1;#N/A
;HOXD3;#N/A
;CNTNAP1;#N/A
;USH2A;#N/A
;MADCAM1;#N/A
;SIX6;#N/A
;PRAME;#N/A
;RIMS1;#N/A
;RFX6;#N/A
;CCAR1;#N/A
;PRTN3;#N/A
;EBF3;#N/A
;GDF6;#N/A
;BRK1;#N/A
;MOK;#N/A
;LGALS7;#N/A
;SOX18;#N/A
;TRERF1;#N/A
;EAPP;#N/A
;AGR2;#N/A
;RIOK2;x
;PDCL;#N/A
;GPLD1;#N/A
;PI4KA;#N/A
;TMEM102;#N/A
;HHEX;#N/A
;MALT1;#N/A
;RAB25;#N/A
;CAPN5;#N/A
;LGMN;#N/A
;ERAP1;#N/A
;DTNA;#N/A
;MNT;#N/A
;FBXO22;#N/A
;MARCO;#N/A
;IL37;#N/A
;IFNW1;#N/A
;OS9;#N/A
;AZGP1;#N/A
;AAGAB;#N/A
;CDH3;#N/A
;FGF12;#N/A
;TAF13;#N/A
;NDRG4;#N/A
;BTG3;#N/A
;MFHAS1;#N/A
;RREB1;#N/A
;MVD;#N/A
;MORC2;#N/A
;CTNND2;#N/A
;FEZ2;#N/A
;BEX1;#N/A
;ZNF516;#N/A
;OSBPL8;#N/A
;RNF6;#N/A
;ZBTB7C;#N/A
;PELI2;#N/A
;FNTB;#N/A
