No.;Gene name;Oncogene or Tumor Suppresson gene
;RHBDL1;#N/A
;KSR2;x
;SETD3;#N/A
;FKBP4;#N/A
;AREG;#N/A
;PRDX1;#N/A
;ABL1;x
;GNE;#N/A
;NPM1;x
;CANT1;x
;PLK1;#N/A
;HMGA1;x
;MAZ;#N/A
;XPO5;#N/A
;CABYR;#N/A
;PDIA3;#N/A
;CENPS;#N/A
;TUBB4B;#N/A
;CAMK2B;#N/A
;EXOSC1;#N/A
;PMAIP1;x
;FOXP3;#N/A
;MAP3K3;#N/A
;IKBKG;#N/A
;NRG2;#N/A
;UBFD1;#N/A
;DSN1;#N/A
;SLC34A2;#N/A
;EZH2;x
;ESR2;#N/A
;FGF21;#N/A
;H2AX;#N/A
;CSNK2A2;#N/A
;MAP1B;#N/A
;PPP2CB;#N/A
;ZFPM1;#N/A
;PPIA;#N/A
;HIF1A;x
;RPS3A;#N/A
;CCNA1;#N/A
;KRT18;#N/A
;SHARPIN;#N/A
;SRMS;#N/A
;WNT3A;#N/A
;FRMPD1;#N/A
;RPS6KB1;#N/A
;USF1;#N/A
;RMI1;#N/A
;PPP2CA;#N/A
;BMP2;#N/A
;USP39;#N/A
;NOP2;#N/A
;SOX9;x
;VAV2;x
;GNG3;#N/A
;RAC2;x
;TGFBR2;x
;LAT2;#N/A
;FANCF;x
;RCC1;#N/A
;MPL;x
;TNFRSF10D;#N/A
;PRKACB;#N/A
;PHKG2;#N/A
;KLB;#N/A
;SMAD4;x
;ZFP41;#N/A
;TUBA1C;#N/A
;TGFB2;#N/A
;MLST8;#N/A
;EIF2AK1;#N/A
;CBX4;#N/A
;PURA;#N/A
;MAPK13;#N/A
;CRKL;x
;STAT1;#N/A
;IL6R;#N/A
;RAB41;#N/A
;ICOS;#N/A
;RAN;#N/A
;CSF1R;#N/A
;CDC25A;#N/A
;HELB;#N/A
;CSF1;#N/A
;RND1;#N/A
;ACTC1;#N/A
;KAT2B;#N/A
;PPP2R1A;x
;COPA;#N/A
;SLURP1;#N/A
;ZNF239;#N/A
;PML;x
;TAT;#N/A
;PRKACA;x
;P4HB;#N/A
